id,created_at,text
1199326549645938688,2019-11-26 13:58:26,"Un #Chile más justo necesita un nuevo pacto social, y así lo proponemos con nuestra agenda contra las desigualdades y los abusos #ActitudSocialista #PS #NuevoPactoSocial https://t.co/VhcmOS5U6U"
1199291489152622597,2019-11-26 11:39:07,"""Lo que hemos generado es un tipo de sociedad que no considera un desarrollo inclusivo, lo que a su vez ha creado niveles de hastío y enojo que requieren una respuesta social urgente, que incluya sueldos y pensiones dignas"", afirma el pdte #PS, @alvaroelizalde, en @Bienvenidos13 https://t.co/ZHZnajpSwT"
1199289959632572416,2019-11-26 11:33:02,"Ahora en @Bienvenidos13, de @canal13, el presidente del #PS, @alvaroelizalde, conversa sobre el acuerdo por el proceso constituyente y las medidas que deberían responder a las demandas sociales https://t.co/02XrH8IPGh"
1199078252893089794,2019-11-25 21:31:47,"Es urgente impulsar medidas concretas y profundas que respondan la demanda ciudadana. Conoce la propuesta del #PS en materia de pensiones, contenida en nuestra agenda contra las desigualdades y los abusos #ActitudSocialista https://t.co/v2nr0OuJYA"
1198998591982972929,2019-11-25 16:15:15,El 25 de noviembre es el Día Internacional de la Eliminación de la Violencia contra las Mujeres. Sumémonos todos y todas a esta causa #diacontralaviolenciadegenero #ActitudSocialista https://t.co/gLoJGoWJSW
1198383106232860673,2019-11-23 23:29:32,"Propuesta de Convergencia Progresista, integrada por #PS @PPD_Chile y @PRadicalcl, para una mayor participación en el proceso constituyente por la #NuevaConstitucionParaChile https://t.co/gTD0BroWei"
1198263764484796416,2019-11-23 15:35:18,"Lamentamos comunicar el sensible fallecimiento de la madre de nuestro diputado y presidente de la @JS_Chile, @Juan_SantanaC, compañera Aurora Castillo Núñez. Nuestras más sinceras condolencias a toda su familia y amigos en estos momentos de dolor. Un abrazo fraterno"
1198015130077990915,2019-11-22 23:07:19,Esta tarde se constituyó la comisión técnica encargada de materializar e implementar el acuerdo por una #NuevaConstitucionParaChile. Por parte del #PS asistió @ALeverkuhn83 https://t.co/ZvMZvSn2Va
1197951713866469376,2019-11-22 18:55:20,Declaración pública del Partido Socialista de Chile en relación al rechazo del informe de Amnistía Internacional por parte del Gobierno y las FFAA https://t.co/lCrFKL7A4U
1197271076037910531,2019-11-20 21:50:43,La agenda social es urgente. Debemos impulsar medidas concretas que respondan la demanda ciudadana. Conoce nuestra propuesta en salud contenida en nuestra agenda contra las desigualdades y los abusos #PS #ActitudSocialista https://t.co/geyFBNrdtr
1196609357963808768,2019-11-19 02:01:17,Declaración pública de la Comisión Política del Partido Socialista de Chile #PS https://t.co/3V5hYa8FBl
1196595554798768128,2019-11-19 01:06:26,"Héctor Gómez, diputado y secretario de Relaciones Internacionales del @PSOE, celebra el acuerdo alcanzado en Chile para una #NuevaConstitución @PSOEInternacion #PS https://t.co/hBmPVU6BL6"
1196535241080528897,2019-11-18 21:06:46,"Presidente del #PS, @alvaroelizalde, y selección de candidatos para la Convención Constitucional #NuevaConstitución #NuevaConstitucionParaChile https://t.co/wSLjlEvCxE"
1196498068453183488,2019-11-18 18:39:04,Conoce un resumen de nuestra agenda social contra las desigualdades y los abusos que presentamos a fines de octubre. Contiene 17 propuestas concretas en diferentes ámbitos. Más información detallada en nuestra página web https://t.co/32gpJW4bs7 https://t.co/M4rLETkyJm
1196063425257988097,2019-11-17 13:51:57,"""Uno de los temas fundamentales son las pensiones. Nuestra propuesta es aumentar un 50% las PBS. También creemos que se debe avanzar en una fijación de precios de medicamentos y en transporte gratuito para adultos mayores"", afirma @alvaroelizalde en Mesa Central, de @T13. #PS https://t.co/4xjyn64aEA"
1196058070608166913,2019-11-17 13:30:40,"Presidente del #PS, @alvaroelizalde,  asegura en Mesa Central, de @T13, que ""hay temas pendientes que debemos asumir: una ambiciosa agenda antiabusos, porque hay una demanda social; una agenda que ponga fin a los privilegios de la política; y el cese a las violaciones de DDHH"""
1196054586118877185,2019-11-17 13:16:49,"""Más que el acuerdo entre partidos, aquí la protagonista fue la gente. Esto no habría sido posible si no fuera por un país que se movilizó en las calles exigiendo más democracia"", afirma @alvaroelizalde, presidente del #PS, en Mesa Central de @T13 https://t.co/7j7z1VhTBz"
1195800038347300865,2019-11-16 20:25:20,Declaración pública: Partido Socialista de Chile reitera petición de renuncia del general director de Carabineros y exige que ministro Blumel asuma su responsabilidad ante descontrol policial #PS https://t.co/UqBnuto0f4
1195731642654109696,2019-11-16 15:53:33,"El #PS reitera solicitud de renuncia al general director de Carabineros, Mario Rozas, por cuanto la institución ha sido incapaz de mantener el orden público sin violar los DDHH. No ha estado a la altura en el desarrollo de su labor en marco del Estado de Derecho #RenunciaRozas"
1195502549576699905,2019-11-16 00:43:13,"Palabras del presidente del #PS, @alvaroelizalde, tras acuerdo político para #NuevaConstitución.  #AsambleaConstituyente #NuevaConstitucionParaChile #ActitudSocialista https://t.co/cHmCWXGAA9"
1195468572052602883,2019-11-15 22:28:12,Declaración pública: Partido Socialista de Chile reafirma su compromiso con agenda contra las desigualdades y los abusos tras firma del “Acuerdo por la Paz y la Nueva Constitución” #PS #ActitudSocialista https://t.co/tw2FfPAWul
1195218078537338880,2019-11-15 05:52:50,"Acuerdo Por La Paz  Social y la Nueva Constitución que les permitirá a los chilenos y chilenas definir si quieren una #NuevaConstitución y a través de qué mecanismo, entre ellos la Convención Constitucional, cuyos miembros serán electos íntegramente #PS https://t.co/XtYwztRwlY"
1195021080513171456,2019-11-14 16:50:02,"""Los sectores más duros de la derecha se están imponiendo con una propuesta profundamente antidemocrática. Nosotros hemos propuesto que sea la ciudadanía la que decida a través de un plebiscito el mecanismo para elaborar una #NuevaConstitución"", señaló @alvaroelizalde, pdte #PS https://t.co/vO169te8iM"
1195012401101451264,2019-11-14 16:15:33,Declaración pública del Partido Socialista de Chile respecto de la forma y el mecanismo para elaborar una #NuevaConstitución  #PS https://t.co/iszoxmSn0S
1194981770976014339,2019-11-14 14:13:50,"""Para avanzar hacia nueva Constitución, no hay que temerle a la participación. Los socialistas estamos por Asamblea Constituyente que dé verdadero protagonismo a ciudadanos/as, pero finalmente son est@s los que deben decidir en plebiscito"", dijo @alvaroelizalde en @MuchoGustoMEGA https://t.co/EUqDfPnlOA"
1194949701965111296,2019-11-14 12:06:24,"Ahora en @MuchoGustoMEGA, el presidente del #PS, @alvaroelizalde, conversa sobre el mecanismo para elaborar una #NuevaConstitución https://t.co/ecv7prJxcj"
1194679903834296321,2019-11-13 18:14:19,El plebiscito es la forma para que el pueblo decida si quiere una Nueva Constitución y a través de qué mecanismo #PlebiscitoAhora #NuevaConstitución #PS #ActitudSocialista https://t.co/SSA1WJRuI2
1194609243837665282,2019-11-13 13:33:33,#PS presenta propuesta para Asamblea Constituyente / vía @ElMercurio_cl #NuevaConstitución #AsambleaConstituyente https://t.co/qpSBtjMTZE
1194348508314251264,2019-11-12 20:17:28,Declaración pública de partidos de oposición frente a los últimos acontecimientos que ha vivido el país #PS https://t.co/hcQ2SvfXvO
1194269009618907136,2019-11-12 15:01:34,"Para que los trabajadores puedan negociar en igualdad de condiciones, plebiscito para una #NuevaConstitución y para definir el mecanismo de su elaboración #PS #ActitudSocialista https://t.co/6QiuiBH2JA"
1194222881405898753,2019-11-12 11:58:17,Las apuestas de cada partido político para avanzar en una #NuevaConstitución. Acá 👇 la del #PS / vía @latercera https://t.co/98VRtbOdZH https://t.co/ypP3pla779
1194071233404506112,2019-11-12 01:55:41,"Constitucionalistas, académicos, parlamentarios, @iigualdad y parte de la Mesa Directiva del #PS se reunieron este lunes para analizar propuesta de plebiscito para una #NuevaConstitución y el mecanismo para elaborarla. #ActitudSocialista https://t.co/8U2l7jXwo6"
1193985838323044352,2019-11-11 20:16:21,"Presidente del #PS, senador @alvaroelizalde, y proceso para una #NuevaConstitución #ActitudSocialista https://t.co/0pB7pokP5s"
1193940884708085766,2019-11-11 17:17:43,"#Efeméride: Hace 36 años, Sebastián Acevedo Becerra dio su vida por sus hijos secuestrados por la CNI. Tras su sacrificio, se creó el Movimiento contra la Tortura ""Sebastián Acevedo"". Honor y Gloria https://t.co/1aqKZzzjIg"
